index,title,random_sentence,url,categories
1,Capitole de l'État de l'Illinois,Portail du Registre national des lieux historiques   Portail de la politique aux États-Unis   Portail de l’Illinois,fr.wikipedia.org/wiki/Capitole_de_l%27%C3%89tat_de_l%27Illinois,"Catégorie:Article géolocalisé aux États-Unis, Catégorie:Article utilisant l'infobox Monument, Catégorie:Article utilisant une Infobox, Catégorie:Bâtiment en Illinois, Catégorie:Capitole d'État inscrit au Registre national des lieux historiques, Catégorie:Comté de Sangamon, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à l'architecture, Catégorie:Page utilisant P1305, Catégorie:Page utilisant P1435, Catégorie:Page utilisant P31, Catégorie:Page utilisant P454, Catégorie:Page utilisant P649, Catégorie:Page utilisant P856, Catégorie:Politique en Illinois, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Culture/Articles liés, Catégorie:Portail:Culture américaine/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Illinois/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:Politique aux États-Unis/Articles liés, Catégorie:Portail:Protection du patrimoine/Articles liés, Catégorie:Portail:Registre national des lieux historiques/Articles liés, Catégorie:Portail:États-Unis/Articles liés, Catégorie:Registre national des lieux historiques en 1985, Catégorie:Registre national des lieux historiques en Illinois, Catégorie:Wikipédia:ébauche Illinois, Catégorie:Wikipédia:ébauche architecture"
2,Comines (Nord),"Ce défilé est franco-belge ; de nos jours, il commence en Belgique et se termine sur la place de Comines en France.",fr.wikipedia.org/wiki/Comines_(Nord),"Catégorie:Aire d'attraction de Lille (partie française), Catégorie:Armorial des communes du Nord, Catégorie:Article avec module Population de France, Catégorie:Article avec modèle Blason-ville-fr, Catégorie:Article avec modèle Infobox Commune de France, Catégorie:Article avec une section vide ou incomplète, Catégorie:Article géolocalisé en France, Catégorie:Article géolocalisé sur Terre, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local différent sur Wikidata, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Comines (Nord), Catégorie:Commune dans le département du Nord, Catégorie:Commune de la métropole européenne de Lille, Catégorie:Flandre romane, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Page utilisant une frise chronologique, Catégorie:Portail:Communes de France/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Flandres/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Hauts-de-France/Articles liés, Catégorie:Portail:Lille Métropole/Articles liés, Catégorie:Portail:Nord-Pas-de-Calais/Articles liés, Catégorie:Unité urbaine de Lille (partie française), Catégorie:Village franco-belge, Catégorie:Ville divisée, Catégorie:Ville décorée de la croix de guerre 1914-1918"
3,Métensomatose,Le mot métensomatose signifie « déplacement du corps spirituel » vers une nouvelle existence physique dans le monde tangible.,fr.wikipedia.org/wiki/M%C3%A9tensomatose,"Catégorie:Croyance, Catégorie:Métaphysique, Catégorie:Portail:Religions et croyances/Articles liés, Catégorie:Wikipédia:ébauche religion"
4,Cahiers de psychologie clinique,"Les Cahiers de psychologie clinique, revue scientifique semestrielle fondée en 1994, sont consacrés à la psychologie clinique et à la psychothérapie.",fr.wikipedia.org/wiki/Cahiers_de_psychologie_clinique,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant une Infobox, Catégorie:Groupe De Boeck, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la recherche, Catégorie:Page utilisant P1156, Catégorie:Page utilisant P4700, Catégorie:Page utilisant P4730, Catégorie:Page utilisant Palette Psychothérapie, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Presse écrite/Articles liés, Catégorie:Portail:Psychologie/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Psychologie clinique, Catégorie:Psychothérapie, Catégorie:Revue de psychologie, Catégorie:Revue disponible sur Cairn.info, Catégorie:Wikipédia:ébauche psychologie"
5,Hospitaliers-Sauveteurs bretons,"Pour faire face à cette nouvelle situation, les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.",fr.wikipedia.org/wiki/Hospitaliers-Sauveteurs_bretons,"Catégorie:Article utilisant l'infobox Organisation, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Organisation, Catégorie:Association ou organisme lié à la mer en Bretagne, Catégorie:Organisme fondé en 1873, Catégorie:Page géolocalisable sans coordonnées paramétrées, Catégorie:Page utilisant P1366, Catégorie:Page utilisant P17, Catégorie:Page utilisant P31, Catégorie:Page utilisant P571, Catégorie:Page utilisant P576, Catégorie:Portail:Associations/Articles liés, Catégorie:Portail:Maritime/Articles liés, Catégorie:Portail:Premiers secours et secourisme/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Sécurité civile et sapeurs-pompiers/Articles liés, Catégorie:Premiers secours, Catégorie:Service de secours en France, Catégorie:Sécurité maritime en France"
6,Glossaire de l'escrime,"Cuirasse électrique : Au fleuret et au sabre, pièce de la tenue située au-dessus de la veste qui matérialise la zone valable.",fr.wikipedia.org/wiki/Glossaire_de_l%27escrime,"Catégorie:Article pour Wiktionnaire, Catégorie:Bon article en finnois, Catégorie:Glossaire, Catégorie:Jargon, Catégorie:Portail:Escrime/Articles liés, Catégorie:Portail:Sport/Articles liés, Catégorie:Terminologie de l'escrime, Catégorie:Vocabulaire sportif, Catégorie:Wikipédia:ébauche escrime"
7,Hôtel de ville de Münster,"On a d'abord une maison à colombages, remplacée vers 1200 par un bâtiment en pierre auquel on adjoint une haute façade au milieu du XIVe siècle.",fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_M%C3%BCnster,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article de qualité en allemand, Catégorie:Article géolocalisé en Allemagne, Catégorie:Article utilisant l'infobox Monument, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Hôtel de ville en Allemagne, Catégorie:Münster, Catégorie:Page avec des cartes, Catégorie:Page géolocalisée par Wikidata, Catégorie:Page utilisant P1435, Catégorie:Page utilisant P18, Catégorie:Page utilisant P2048, Catégorie:Page utilisant P31, Catégorie:Page utilisant P571, Catégorie:Page utilisant P669, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Page utilisant une adresse fournie par Wikidata, Catégorie:Portail:Allemagne/Articles liés, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Rhénanie-du-Nord-Westphalie/Articles liés, Catégorie:Wikipédia:ébauche architecture, Catégorie:Wikipédia:ébauche histoire"
8,Agriculture sociale,"Le secteur socio-sanitaire, public, privé, tiers secteur, gère ces initiatives dans ses propres structures.",fr.wikipedia.org/wiki/Agriculture_sociale,"Catégorie:Agriculture, Catégorie:Portail:Agriculture et agronomie/Articles liés, Catégorie:Portail:Biologie/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Éducation/Articles liés, Catégorie:Projet:Biologie/Pages liées"
9,Missa Johnouchi,(en) Cet article est partiellement ou en totalité issu de l’article de Wikipédia en anglais intitulé « Missa Johnouchi » (voir la liste des auteurs).,fr.wikipedia.org/wiki/Missa_Johnouchi,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte musique, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Artiste pour la paix de l'UNESCO, Catégorie:Auteure-compositrice japonaise, Catégorie:Chanteuse japonaise, Catégorie:Cheffe d'orchestre japonaise, Catégorie:Naissance en décembre 1960, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la musique, Catégorie:Page utilisant P106, Catégorie:Page utilisant P108, Catégorie:Page utilisant P1303, Catégorie:Page utilisant P1559, Catégorie:Page utilisant P1728, Catégorie:Page utilisant P19, Catégorie:Page utilisant P1953, Catégorie:Page utilisant P2048, Catégorie:Page utilisant P2067, Catégorie:Page utilisant P27, Catégorie:Page utilisant P434, Catégorie:Page utilisant P569, Catégorie:Page utilisant P5882, Catégorie:Page utilisant des données de Wikidata à traduire de l'anglais, Catégorie:Pianiste japonaise, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Japon/Articles liés, Catégorie:Portail:Musique/Articles liés, Catégorie:Wikipédia:Article biographique"
10,Henry Morton Stanley,"Après cinq années les routes de Stanley et de Léopold II se séparent de manière officielle, cependant Stanley demeure secrètement à la solde du roi.",fr.wikipedia.org/wiki/Henry_Morton_Stanley,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte exploration, Catégorie:Article utilisant une Infobox, Catégorie:Aventurier britannique, Catégorie:Bon article en allemand, Catégorie:Bon article en norvégien, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Chevalier grand-croix de l'ordre du Bain, Catégorie:Docteur honoris causa de l'université de Durham, Catégorie:Décès en mai 1904, Catégorie:Décès à 63 ans, Catégorie:Décès à Londres, Catégorie:Député du 26e Parlement du Royaume-Uni, Catégorie:Député du Parti conservateur (Royaume-Uni), Catégorie:Explorateur britannique du XIXe siècle, Catégorie:Explorateur de l'Afrique, Catégorie:Journaliste britannique du XIXe siècle, Catégorie:Léopold II (roi des Belges), Catégorie:Naissance dans le Denbighshire, Catégorie:Naissance en janvier 1841, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives aux beaux-arts, Catégorie:Page pointant vers des bases relatives à la musique, Catégorie:Page pointant vers des bases relatives à la recherche, Catégorie:Page pointant vers des bases relatives à la vie publique, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P102, Catégorie:Page utilisant P106, Catégorie:Page utilisant P109, Catégorie:Page utilisant P119, Catégorie:Page utilisant P1296, Catégorie:Page utilisant P1415, Catégorie:Page utilisant P1417, Catégorie:Page utilisant P1442, Catégorie:Page utilisant P1477, Catégorie:Page utilisant P166, Catégorie:Page utilisant P1816, Catégorie:Page utilisant P19, Catégorie:Page utilisant P1953, Catégorie:Page utilisant P20, Catégorie:Page utilisant P2015, Catégorie:Page utilisant P2268, Catégorie:Page utilisant P26, Catégorie:Page utilisant P27, Catégorie:Page utilisant P2732, Catégorie:Page utilisant P3219, Catégorie:Page utilisant P3222, Catégorie:Page utilisant P3544, Catégorie:Page utilisant P39, Catégorie:Page utilisant P40, Catégorie:Page utilisant P434, Catégorie:Page utilisant P4342, Catégorie:Page utilisant P4823, Catégorie:Page utilisant P485, Catégorie:Page utilisant P5019, Catégorie:Page utilisant P569, Catégorie:Page utilisant P570, Catégorie:Page utilisant P6058, Catégorie:Page utilisant P607, Catégorie:Page utilisant P6404, Catégorie:Page utilisant P6872, Catégorie:Page utilisant P701, Catégorie:Page utilisant P7666, Catégorie:Page utilisant P7685, Catégorie:Page utilisant P7902, Catégorie:Page utilisant P7982, Catégorie:Page utilisant P8313, Catégorie:Page utilisant des données de Wikidata à traduire de l'anglais, Catégorie:Personnalité ayant donné son nom à une ville, Catégorie:Personnalité de l'Union Navy, Catégorie:Personnalité de l'État indépendant du Congo, Catégorie:Portail:Afrique/Articles liés, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Années 1860/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Biographie/Articles liés/Entreprises, Catégorie:Portail:Biographie/Articles liés/Politique, Catégorie:Portail:Exploration/Articles liés, Catégorie:Portail:Guerre de Sécession/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Journalisme/Articles liés, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:XIXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Portail:États-Unis/Articles liés, Catégorie:Représentant de l'Angleterre à la Chambre des communes, Catégorie:Récipiendaire de la médaille Vega, Catégorie:Wikipédia:Article biographique"
