index,title,random_sentence,simplified,url,categories,method
2,Comines (Nord),"Ce défilé est franco-belge ; de nos jours, il commence en Belgique et se termine sur la place de Comines en France.",Ce défilé commence en Belgique et se termine à Comines en France.,fr.wikipedia.org/wiki/Comines_(Nord),"Aire d'attraction de Lille (partie française), Armorial des communes du Nord, Article avec module Population de France, Article avec modèle Blason-ville-fr, Article avec modèle Infobox Commune de France, Article avec une section vide ou incomplète, Article géolocalisé en France, Article géolocalisé sur Terre, Article utilisant une Infobox, Catégorie Commons avec lien local différent sur Wikidata, Catégorie Commons avec lien local identique sur Wikidata, Comines (Nord), Commune dans le département du Nord, Commune de la métropole européenne de Lille, Flandre romane, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant une frise chronologique, Portail:Communes de France/Articles liés, Portail:Europe/Articles liés, Portail:Flandres/Articles liés, Portail:France/Articles liés, Portail:Hauts-de-France/Articles liés, Portail:Lille Métropole/Articles liés, Portail:Nord-Pas-de-Calais/Articles liés, Unité urbaine de Lille (partie française), Village franco-belge, Ville divisée, Ville décorée de la croix de guerre 1914-1918",Omission des mots redondants
5,Hospitaliers-Sauveteurs bretons,"Pour faire face à cette nouvelle situation, les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.",Les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.,fr.wikipedia.org/wiki/Hospitaliers-Sauveteurs_bretons,"Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à illustrer Organisation, Association ou organisme lié à la mer en Bretagne, Organisme fondé en 1873, Page géolocalisable sans coordonnées paramétrées, Page utilisant P1366, Page utilisant P17, Page utilisant P31, Page utilisant P571, Page utilisant P576, Portail:Associations/Articles liés, Portail:Maritime/Articles liés, Portail:Premiers secours et secourisme/Articles liés, Portail:Société/Articles liés, Portail:Sécurité civile et sapeurs-pompiers/Articles liés, Premiers secours, Service de secours en France, Sécurité maritime en France",Suppression des clauses complexes
7,Hôtel de ville de Münster,"On a d'abord une maison à colombages, remplacée vers 1200 par un bâtiment en pierre auquel on adjoint une haute façade au milieu du XIVe siècle.",Les maisons à colombages sont remplacées par des bâtiments en pierre avec une haute façade au XIVe siècle.,fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_M%C3%BCnster,"Article de Wikipédia avec notice d'autorité, Article de qualité en allemand, Article géolocalisé en Allemagne, Article utilisant l'infobox Monument, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Hôtel de ville en Allemagne, Münster, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P1435, Page utilisant P18, Page utilisant P2048, Page utilisant P31, Page utilisant P571, Page utilisant P669, Page utilisant un modèle Bases inactif, Page utilisant une adresse fournie par Wikidata, Portail:Allemagne/Articles liés, Portail:Architecture et urbanisme/Articles liés, Portail:Europe/Articles liés, Portail:Rhénanie-du-Nord-Westphalie/Articles liés, Wikipédia:ébauche architecture, Wikipédia:ébauche histoire",Suppression des clauses complexes
10,Henry Morton Stanley,"Après cinq années les routes de Stanley et de Léopold II se séparent de manière officielle, cependant Stanley demeure secrètement à la solde du roi.","Après cinq ans, Stanley et Léopold II se séparent officiellement, mais Stanley reste secrètement au service du roi.",fr.wikipedia.org/wiki/Henry_Morton_Stanley,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte exploration, Article utilisant une Infobox, Aventurier britannique, Bon article en allemand, Bon article en norvégien, Catégorie Commons avec lien local identique sur Wikidata, Chevalier grand-croix de l'ordre du Bain, Docteur honoris causa de l'université de Durham, Décès en mai 1904, Décès à 63 ans, Décès à Londres, Député du 26e Parlement du Royaume-Uni, Député du Parti conservateur (Royaume-Uni), Explorateur britannique du XIXe siècle, Explorateur de l'Afrique, Journaliste britannique du XIXe siècle, Léopold II (roi des Belges), Naissance dans le Denbighshire, Naissance en janvier 1841, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des bases relatives à la musique, Page pointant vers des bases relatives à la recherche, Page pointant vers des bases relatives à la vie publique, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P102, Page utilisant P106, Page utilisant P109, Page utilisant P119, Page utilisant P1296, Page utilisant P1415, Page utilisant P1417, Page utilisant P1442, Page utilisant P1477, Page utilisant P166, Page utilisant P1816, Page utilisant P19, Page utilisant P1953, Page utilisant P20, Page utilisant P2015, Page utilisant P2268, Page utilisant P26, Page utilisant P27, Page utilisant P2732, Page utilisant P3219, Page utilisant P3222, Page utilisant P3544, Page utilisant P39, Page utilisant P40, Page utilisant P434, Page utilisant P4342, Page utilisant P4823, Page utilisant P485, Page utilisant P5019, Page utilisant P569, Page utilisant P570, Page utilisant P6058, Page utilisant P607, Page utilisant P6404, Page utilisant P6872, Page utilisant P701, Page utilisant P7666, Page utilisant P7685, Page utilisant P7902, Page utilisant P7982, Page utilisant P8313, Page utilisant des données de Wikidata à traduire de l'anglais, Personnalité ayant donné son nom à une ville, Personnalité de l'Union Navy, Personnalité de l'État indépendant du Congo, Portail:Afrique/Articles liés, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Années 1860/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biographie/Articles liés/Entreprises, Portail:Biographie/Articles liés/Politique, Portail:Exploration/Articles liés, Portail:Guerre de Sécession/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Journalisme/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:XIXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Portail:États-Unis/Articles liés, Représentant de l'Angleterre à la Chambre des communes, Récipiendaire de la médaille Vega, Wikipédia:Article biographique",Substitution de mots complexes
12,Grenoble olympique universitaire,"Le Grenoble olympique universitaire est un club omnisports français basé à Grenoble, disparu dans les années 1950.",Le Grenoble olympique universitaire était un club omnisports français basé à Grenoble.,fr.wikipedia.org/wiki/Grenoble_olympique_universitaire,"Article utilisant une Infobox, Club omnisports en France, Club sportif disparu au XXe siècle, Club sportif fondé en 1919, Club sportif à Grenoble, Portail:Auvergne-Rhône-Alpes/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Grenoble/Articles liés, Portail:Grenoble Métropole/Articles liés, Portail:Isère/Articles liés, Portail:Sport/Articles liés, Wikipédia:ébauche Isère, Wikipédia:ébauche sport",Suppression des clauses complexes
14,Philosophie du sport,"En France, Pierre de Coubertin fut sans doute le premier et le plus important des théoriciens du sport.","En France, Pierre de Coubertin fut sans doute le premier et le plus important théoricien du sport.",fr.wikipedia.org/wiki/Philosophie_du_sport,"Article pouvant contenir un travail inédit, Article utilisant le modèle Dictionnaires inactif, Article à internationaliser, Article à référence nécessaire, Article à wikifier/Liste complète, Article à wikifier depuis mai 2023, Branche de la philosophie, Culture du sport, Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page utilisant P3123, Page utilisant le modèle Autorité inactif, Portail:Philosophie/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Portail:Sport/Articles liés",Omission des mots redondants
17,Musée historique de Francfort,"Une autre collection, donnée en 1845, comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.",Une autre collection comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.,fr.wikipedia.org/wiki/Mus%C3%A9e_historique_de_Francfort,"Article contenant un appel à traduction en allemand, Article géolocalisé en Allemagne, Article utilisant l'infobox Musée, Article utilisant une Infobox, Bâtiment à Francfort-sur-le-Main, Catégorie Commons avec lien local identique sur Wikidata, Musée d'une ville, Musée fondé en 1878, Musée à Francfort-sur-le-Main, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page avec des données de géolocalisation non prises en charge, Page utilisant P154, Page utilisant P31, Portail:Allemagne/Articles liés, Portail:Culture/Articles liés, Portail:Europe/Articles liés, Portail:Francfort-sur-le-Main/Articles liés, Portail:Hesse/Articles liés, Portail:Histoire/Articles liés, Portail:Musées/Articles liés, Portail:Tourisme/Articles liés",Suppression des clauses complexes
20,Syndrome des urines violettes,"La décoloration violette du sac d'urine est souvent la seule constatation, fréquemment notée par les soignants.",La décoloration violette du sac d'urine est souvent la seule constatation notée.,fr.wikipedia.org/wiki/Syndrome_des_urines_violettes,"Article orphelin/Liste complète, Article utilisant une Infobox, Image locale sans image sur Wikidata, Maladie en urologie, Page utilisant P828, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Projet:Médecine/Infobox Maladie dont l'image est à vérifier, Syndrome, Urine, Wikipédia:Tentative d'adoption en janvier 2023",Suppression des clauses complexes
21,Trampoline aux Jeux mondiaux de 2017,Les épreuves de trampoline des Jeux mondiaux de 2017 ont lieu du 24 juillet au 26 juillet 2017 à Wrocław.,Les compétitions de trampoline des Jeux mondiaux de 2017 se déroulent du 24 juillet au 26 juillet 2017 à Wrocław.,fr.wikipedia.org/wiki/Trampoline_aux_Jeux_mondiaux_de_2017,"Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en néerlandais, Article utilisant une Infobox, Jeux mondiaux de 2017, Portail:Années 2010/Articles liés, Portail:Europe/Articles liés, Portail:Pologne/Articles liés, Portail:XXIe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Trampoline aux Jeux mondiaux, Wikipédia:ébauche Pologne, Wikipédia:ébauche sport",Substitution de mots complexes
23,Liste des districts de Florianópolis,"Liste des districts de la municipalité de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.","Liste des quartiers de la ville de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.",fr.wikipedia.org/wiki/Liste_des_districts_de_Florian%C3%B3polis,"District à Florianópolis, Liste en rapport avec le Brésil, Portail:Amérique/Articles liés, Portail:Amérique du Sud/Articles liés, Portail:Brésil/Articles liés, Portail:Florianópolis/Articles liés, Portail:Géographie/Articles liés, Portail:Lusophonie/Articles liés, Portail:Santa Catarina/Articles liés, Wikipédia:ébauche géographie",Substitution de mots complexes
