ID,pair_id,sentence_x,MOS,sentence_y,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,REL,KandelMoles,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
1,1,"Cette page présente la filmographie complète de Mel Gibson, listant ses crédits en tant qu'acteur, réalisateur, producteur et scénariste.",1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"Le quadrangle de Nemesis Tesserae (littéralement :  quadrangle des tessères de Némésis), aussi identifié par le code USGS V-13, est une région cartographique en quadrangle sur Vénus.",4.0,"Le quadrangle de Nemesis Tesserae (littéralement :  quadrangle des tessères de Némésis), aussi identifié par le code USGS V-13, est une région cartographique en quadrangle sur Vénus.",18.10296296296297,17.887777777777778,15.33366518518519,13.363333333333347,21.17037037037037,64.03703703703704,17.491376746189438,10.0,35.120925925925945,44.46851851851849,6.602533333333333,5.481481481481482,1.962962962962963,27.0,1.0,0.8888888888888888,0.0,148.0,53.0,27.0,24.0,1.0,1.0,10.0,7.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,3,La chapelle fut détruite durant la Seconde Guerre mondiale par l'armée française lorsqu'elle fit sauter les carrefours afin de ralentir la progression des Allemands.,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"Wilhelm Abeken nous a laissé un ouvrage de référence en allemand : L'Italie centrale avant la domination romaine, d'après ses monuments (Mittelitalien vor den Zeiten römischer Herrschaft. Nach seinen Denkmalen), Cotta : Stuttgart und Tübingen, 1843.",4.0,"Wilhelm Abeken nous a laissé un ouvrage de référence en allemand : L'Italie centrale avant la domination romaine, d'après ses monuments (Mittelitalien vor den Zeiten römischer Herrschaft. Nach seinen Denkmalen), Cotta : Stuttgart und Tübingen, 1843.",21.39444444444445,23.390833333333333,16.859811972222225,5.795000000000009,23.28888888888889,77.66666666666666,18.491933384829668,15.0,27.34888888888892,35.377777777777766,8.364766666666668,5.694444444444445,1.9444444444444444,36.0,1.0,1.0,0.0,205.0,70.0,36.0,36.0,1.0,1.0,15.0,8.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,5,"Sa parution devient bimestrielle à partir du no 40 de décembre 2009, toujours à destination du marché civil de l’hélicoptère.",3.6,"Sa parution devient bimestrielle à partir du no 40 de décembre 2009, toujours à destination du marché civil de l’hélicoptère.",12.828571428571426,12.395714285714284,11.90954,40.4914285714286,17.923809523809524,54.333333333333336,15.24744871391589,7.0,59.51357142857145,68.27857142857142,7.808742857142857,4.9523809523809526,1.7142857142857142,21.0,1.0,0.8571428571428571,0.0,104.0,36.0,21.0,18.0,1.0,1.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,6,"Certains chapitres solennels donnent lieu à des manifestations extérieures telles que messes, processions, proclamations, etc.",2.6,"Certains chapitres solennels donnent lieu à des manifestations extérieures telles que messes, processions, proclamations, etc.",17.006666666666664,19.982,24.561637866666672,-0.1499999999999808,22.0,68.33333333333334,16.41640786499874,8.0,24.948333333333352,37.616666666666674,11.270666666666664,7.2,2.2666666666666666,15.0,1.0,1.0,0.0,108.0,34.0,15.0,15.0,1.0,1.0,8.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,"Le Pentax A3 est un appareil photographique reflex argentique à objectif interchangeable (baïonnette KA) fabriqué par Pentax, entre 1984 et 1985.",3.0,"Le Pentax A3 est un appareil photographique reflex argentique à objectif interchangeable (baïonnette KA) fabriqué par Pentax, entre 1984 et 1985.",15.07619047619048,16.208571428571425,16.669419380952384,24.3771428571429,21.73333333333333,54.333333333333336,17.491376746189438,7.0,45.49452380952383,55.32619047619048,7.056838095238096,5.761904761904762,1.9047619047619049,21.0,1.0,0.9523809523809524,0.0,121.0,40.0,21.0,20.0,1.0,1.0,7.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,8,Lippold estimait que « l'art caractéristique de [son] époque doit faire honneur à la conquête de l'espace » et cette œuvre symbolise cette conquête.,3.0,Lippold estimait que « l'art caractéristique de [son] époque doit faire honneur à la conquête de l'espace » et cette œuvre symbolise cette conquête.,15.426923076923078,13.670769230769231,10.651293769230772,30.76807692307695,21.16923076923077,56.76923076923077,17.491376746189438,8.0,50.394615384615406,58.79230769230769,7.969984615384615,4.6923076923076925,1.7692307692307692,26.0,1.0,0.8461538461538461,1.0,122.0,46.0,26.0,22.0,1.0,1.0,8.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,9,"Souvent, les entreprises privées sont détenues par les fondateurs de l'entreprise ou leurs familles et héritiers ou par un petit groupe d'investisseurs.",3.4,"Souvent, les entreprises privées sont détenues par les fondateurs de l'entreprise ou leurs familles et héritiers ou par un petit groupe d'investisseurs.",14.420000000000002,15.886249999999997,14.570591791666672,34.425000000000026,21.26666666666667,61.5,17.491376746189438,9.0,53.84,62.400000000000006,7.111650000000001,5.375,1.75,24.0,1.0,0.875,0.0,129.0,42.0,24.0,21.0,1.0,1.0,9.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,Le tâtonnement walrasien est un concept inventé par l'économiste néo-classique Léon Walras permettant de trouver l'équilibre général en ajustant l'offre et demande.,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
