index,title,sentence,simplified,url,categories,simplification_type,avg_rating_original,avg_rating_simplified
1,Filmographie de Mel Gibson,"Cette page présente la filmographie complète de Mel Gibson, listant ses crédits en tant qu'acteur, réalisateur, producteur et scénariste.","Cette page présente la filmographie complète de Mel Gibson. Elle liste ses crédits en tant qu'acteur, réalisateur, producteur et scénariste.",fr.wikipedia.org/wiki/Filmographie_de_Mel_Gibson,"Catégorie:Article de qualité en anglais, Catégorie:Filmographie, Catégorie:Mel Gibson, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Nord/Articles liés, Catégorie:Portail:Cinéma/Articles liés, Catégorie:Portail:Cinéma américain/Articles liés, Catégorie:Portail:Culture américaine/Articles liés, Catégorie:Portail:Médias/Articles liés, Catégorie:Portail:Télévision/Articles liés, Catégorie:Portail:États-Unis/Articles liés",Réduction de la longueur des phrases,1.6,1.8
2,Quadrangle de Nemesis Tesserae,"Le quadrangle de Nemesis Tesserae (littéralement :  quadrangle des tessères de Némésis), aussi identifié par le code USGS V-13, est une région cartographique en quadrangle sur Vénus.","Le quadrangle de Nemesis Tesserae, aussi appelé quadrangle des tessères de Némésis, est identifié par le code USGS V-13. C'est une région cartographique en quadrangle sur Vénus.",fr.wikipedia.org/wiki/Quadrangle_de_Nemesis_Tesserae,"Catégorie:Article créé automatiquement ou semi-automatiquement en avril 2017, Catégorie:Article créé automatiquement ou semi-automatiquement sur l'astronomie, Catégorie:Article utilisant l'infobox Relief, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Géographie planétaire, Catégorie:Page géolocalisable sans coordonnées paramétrées, Catégorie:Page utilisant P138, Catégorie:Page utilisant P1448, Catégorie:Page utilisant P31, Catégorie:Page utilisant P376, Catégorie:Portail:Astronomie/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences de la Terre et de l'Univers/Articles liés, Catégorie:Quadrangle de Nemesis Tesserae, Catégorie:Wikipédia:ébauche astronomie, Catégorie:Wikipédia:ébauche géographie",Réduction de la longueur des phrases,4.0,3.2
3,Tumulus aux Six Frères,La chapelle fut détruite durant la Seconde Guerre mondiale par l'armée française lorsqu'elle fit sauter les carrefours afin de ralentir la progression des Allemands.,La chapelle a été détruite pendant la Seconde Guerre mondiale par l'armée française quand elle a fait exploser les carrefours pour ralentir l'avancée des Allemands.,fr.wikipedia.org/wiki/Tumulus_aux_Six_Fr%C3%A8res,"Catégorie:Article géolocalisé en Belgique, Catégorie:Article géolocalisé sur Terre, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Portail:Archéologie/Articles liés, Catégorie:Portail:Belgique/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Italie/Articles liés, Catégorie:Portail:Monde antique/Articles liés, Catégorie:Portail:Province de Namur/Articles liés, Catégorie:Portail:Rome antique/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Wallonie/Articles liés, Catégorie:Tumulus gallo-romain en Belgique, Catégorie:Wikipédia:ébauche Belgique, Catégorie:Wikipédia:ébauche archéologie, Catégorie:Éghezée",Substitution de mots complexes,1.8,2.0
4,Wilhelm Abeken,"Wilhelm Abeken nous a laissé un ouvrage de référence en allemand : L'Italie centrale avant la domination romaine, d'après ses monuments (Mittelitalien vor den Zeiten römischer Herrschaft. Nach seinen Denkmalen), Cotta : Stuttgart und Tübingen, 1843.","Wilhelm Abeken a écrit un ouvrage de référence : L'Italie centrale avant la domination romaine, d'après ses monuments.",fr.wikipedia.org/wiki/Wilhelm_Abeken,"Catégorie:Archéologue allemand du XIXe siècle, Catégorie:Article contenant un appel à traduction en allemand, Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte par défaut, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Biographie, Catégorie:Décès dans le royaume de Bavière, Catégorie:Décès en janvier 1843, Catégorie:Décès à 29 ans, Catégorie:Décès à Munich, Catégorie:Naissance dans le royaume de Westphalie, Catégorie:Naissance en avril 1813, Catégorie:Naissance à Osnabrück, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P106, Catégorie:Page utilisant P1477, Catégorie:Page utilisant P19, Catégorie:Page utilisant P20, Catégorie:Page utilisant P22, Catégorie:Page utilisant P27, Catégorie:Page utilisant P3373, Catégorie:Page utilisant P463, Catégorie:Page utilisant P569, Catégorie:Page utilisant P570, Catégorie:Page utilisant P7902, Catégorie:Page utilisant un modèle Bases inactif, Catégorie:Portail:Allemagne/Articles liés, Catégorie:Portail:Archéologie/Articles liés, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Biographie/Articles liés/Sciences, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Royaume de Hanovre/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Wikipédia:Article biographique, Catégorie:Wikipédia:ébauche archéologie",Élimination des informations non essentielles,4.0,2.0
5,Helicopter Magazine Europe,"Sa parution devient bimestrielle à partir du no 40 de décembre 2009, toujours à destination du marché civil de l’hélicoptère.",Sa parution devient bimestrielle à partir de décembre 2009 pour le marché civil de l’hélicoptère.,fr.wikipedia.org/wiki/Helicopter_Magazine_Europe,"Article avec une section vide ou incomplète, Article utilisant une Infobox, Article à illustrer Presse écrite, Portail:Aéronautique/Articles liés, Portail:Hélicoptères/Articles liés, Portail:Médias/Articles liés, Portail:Presse écrite/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés, Presse consacrée à l'aéronautique, Presse mensuelle en France, Titre de presse créé en 2006, Wikipédia:ébauche aéronautique, Wikipédia:ébauche presse écrite",Omission des mots redondants,3.6,1.6
6,Chapitre (confrérie),"Certains chapitres solennels donnent lieu à des manifestations extérieures telles que messes, processions, proclamations, etc.","Certains chapitres solennels donnent lieu à des messes, processions et proclamations.",fr.wikipedia.org/wiki/Chapitre_(confr%C3%A9rie),"Article manquant de références/Liste complète, Article manquant de références depuis décembre 2023, Article utilisant le modèle Dictionnaires inactif, Confrérie, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Société/Articles liés",Transformation des propositions relatives,2.6,1.8
7,Pentax A3,"Le Pentax A3 est un appareil photographique reflex argentique à objectif interchangeable (baïonnette KA) fabriqué par Pentax, entre 1984 et 1985.",Le Pentax A3 est un appareil photo du type reflex argentique. Il est équipé d'un objectif interchangeable (baïonnette KA). Il a été fabriqué par Pentax entre 1984 et 1985.,fr.wikipedia.org/wiki/Pentax_A3,"Catégorie:Appareil photographique argentique, Catégorie:Article utilisant une Infobox, Catégorie:Pentax, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Photographie/Articles liés, Catégorie:Produit lancé en 1984, Catégorie:Wikipédia:ébauche photographie",Réduction de la longueur des phrases,3.0,2.0
8,Ad Astra (sculpture),Lippold estimait que « l'art caractéristique de [son] époque doit faire honneur à la conquête de l'espace » et cette œuvre symbolise cette conquête.,Lippold estimait que l'art de son époque doit faire honneur à la conquête de l'espace et cette œuvre symbolise cette conquête.,fr.wikipedia.org/wiki/Ad_Astra_(sculpture),"Article contenant un appel à traduction en anglais, Article géolocalisé aux États-Unis, Article utilisant l'infobox Art, Article utilisant une Infobox, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P136, Page utilisant P170, Page utilisant P18, Page utilisant P276, Page utilisant P571, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Arts/Articles liés, Portail:Sculpture/Articles liés, Portail:Washington (district de Columbia)/Articles liés, Portail:États-Unis/Articles liés, Sculpture des années 1970, Sculpture en plein air à Washington (district de Columbia), Wikipédia:ébauche Washington (district de Columbia), Wikipédia:ébauche sculpture",Éviter les parenthèses et les incises,3.0,2.0
9,Société privée,"Souvent, les entreprises privées sont détenues par les fondateurs de l'entreprise ou leurs familles et héritiers ou par un petit groupe d'investisseurs.","Souvent, les entreprises privées sont détenues par les fondateurs, leurs familles ou un petit groupe d'investisseurs.",fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_priv%C3%A9e,"Catégorie:Article contenant un appel à traduction en allemand, Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Droit des sociétés, Catégorie:Forme juridique des entreprises, Catégorie:Page utilisant Lien pour un article existant, Catégorie:Portail:Droit/Articles liés, Catégorie:Portail:Entreprises/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Société non cotée en bourse, Catégorie:Wikipédia:ébauche droit, Catégorie:Wikipédia:ébauche entreprise",Omission des mots redondants,3.4,2.2
10,Tâtonnement walrasien,Le tâtonnement walrasien est un concept inventé par l'économiste néo-classique Léon Walras permettant de trouver l'équilibre général en ajustant l'offre et demande.,Le tâtonnement walrasien est une idée créée par l'économiste Léon Walras pour trouver l'équilibre en ajustant l'offre et la demande.,fr.wikipedia.org/wiki/T%C3%A2tonnement_walrasien,"Catégorie:Microéconomie, Catégorie:Optimisation, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Économie/Articles liés, Catégorie:Vente aux enchères",Substitution de mots complexes,2.2,1.8
11,Ballon dirigeable Daimler,"En juin 1897, le plus récent de ses dirigeables, le Deutschland, prend feu lors d'un vol à Berlin et s'écrase, tuant à la fois le pionnier de l'aviation et son copilote.","En juin 1897, le dirigeable Deutschland prend feu lors d'un vol à Berlin. Il s'écrase, tuant le pionnier de l'aviation et son copilote.",fr.wikipedia.org/wiki/Ballon_dirigeable_Daimler,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Daimler-Motoren-Gesellschaft, Catégorie:Dirigeable, Catégorie:Histoire de l'aéronautique, Catégorie:Portail:Allemagne/Articles liés, Catégorie:Portail:Années 1880/Articles liés, Catégorie:Portail:Aéronautique/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Transports/Articles liés, Catégorie:Portail:XIXe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Véhicule historique",Réduction de la longueur des phrases,3.5,1.5
12,Nombre de Bodenstein,Il permet de caractériser l'idéalité d'un tel réacteur et est un paramètre important pour l'étude de la distribution de temps de séjour.,Il aide à définir l'efficacité de ce réacteur et est un facteur important pour l'étude du temps de séjour.,fr.wikipedia.org/wiki/Nombre_de_Bodenstein,"Catégorie:Génie chimique, Catégorie:Nombre adimensionnel utilisé en chimie, Catégorie:Nombre adimensionnel utilisé en mécanique des fluides, Catégorie:Portail:Chimie/Articles liés, Catégorie:Portail:Physique/Articles liés, Catégorie:Portail:Sciences/Articles liés",Substitution de mots complexes,3.4,2.0
13,Centre national du graphisme,"Le Centre national du graphisme également appelé Le Signe est un centre d’art dédié à l’accompagnement, au développement et au rayonnement du design graphique.","Le Centre national du graphisme, appelé Le Signe, est un centre d’art. Il se consacre au développement et au rayonnement du design graphique.",fr.wikipedia.org/wiki/Centre_national_du_graphisme,"Affiche, Article de Wikipédia avec notice d'autorité, Article géolocalisé en France, Article utilisant l'infobox Musée, Article utilisant une Infobox, Article à illustrer Musée, Chaumont (Haute-Marne), Graphisme, Page avec des cartes, Page géolocalisée par Wikidata, Page pointant vers des bases externes, Page pointant vers des bases relatives au tourisme, Page pointant vers des bases relatives à l'audiovisuel, Page utilisant P1037, Page utilisant P1174, Page utilisant P31, Page utilisant P345, Page utilisant P539, Page utilisant P6375, Page utilisant P856, Page utilisant une adresse fournie par Wikidata, Portail:Arts/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Grand Est/Articles liés, Portail:Haute-Marne/Articles liés",Réduction de la longueur des phrases,4.0,2.8
14,Yaghnobi,"Bien que parlé par une population réduite (les Yaghnobis), le yaghnobi présente un intérêt particulier pour les linguistes car il s'agit du seul parler moderne descendant du sogdien médiéval.","Le yaghnobi, parlé par une petite population (les Yaghnobis), intéresse particulièrement les linguistes car c'est le seul parler moderne descendant du sogdien médiéval.",fr.wikipedia.org/wiki/Yaghnobi,"Article utilisant une Infobox, Article à illustrer Langue, Inventaire de langues, Langue au Tadjikistan, Langue iranienne orientale, Langue sérieusement en danger, Portail:Asie/Articles liés, Portail:Langues/Articles liés, Portail:Langues/Articles liés directement, Portail:Société/Articles liés, Portail:Tadjikistan/Articles liés, Wikipédia:ébauche langue",Transformation des propositions relatives,2.2,2.4
15,Hérédité mendélienne,"On utilise les termes d'hérédité mendélienne, monogénique ou monofactorielle pour caractériser la transmission des maladies dues à une mutation dans un seul gène.","On utilise les termes d'hérédité mendélienne, monogénique ou monofactorielle pour caractériser la transmission des maladies. Ces maladies sont dues à une mutation dans un seul gène.",fr.wikipedia.org/wiki/H%C3%A9r%C3%A9dit%C3%A9_mend%C3%A9lienne,"Génétique, Génétique humaine, Portail:Biologie/Articles liés, Portail:Origine et évolution du vivant/Articles liés, Portail:Sciences/Articles liés, Projet:Biologie/Pages liées, Wikipédia:ébauche biologie",Réduction de la longueur des phrases,2.75,3.75
16,Plaine d'Audra,La plaine d'Audra (désignation internationale : Audra Planitia) est une plaine située sur Vénus dans le quadrangle de Meskhent Tessera.,La plaine d'Audra est située sur Vénus dans le quadrangle de Meskhent Tessera.,fr.wikipedia.org/wiki/Plaine_d%27Audra,"Article géolocalisé sur Vénus, Article utilisant l'infobox Relief, Article utilisant une Infobox, Article à illustrer Géographie planétaire, Page géolocalisée par Wikidata, Page utilisant P2043, Page utilisant P31, Page utilisant P376, Planitia sur Vénus, Portail:Astronomie/Articles liés, Portail:Géographie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences de la Terre et de l'Univers/Articles liés, Quadrangle de Meskhent Tessera, Wikipédia:ébauche astronomie, Wikipédia:ébauche géographie",Éviter les parenthèses et les incises,2.6,1.4
17,Gianluigi Colalucci,"Jusqu'à « récemment » avant sa mort, il a continué à donner des conseils sur les efforts de restauration et de conservation relatifs à la chapelle, y compris la salle de Constantin.","Avant sa mort, il a continué à donner des conseils sur les efforts de restauration et de conservation relatifs à la chapelle. Cela inclut la salle de Constantin.",fr.wikipedia.org/wiki/Gianluigi_Colalucci,"Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte par défaut, Article utilisant une Infobox, Article à illustrer Biographie, Décès en mars 2021, Décès à 91 ans, Décès à Rome, Naissance en décembre 1929, Naissance à Rome, Page utilisant P106, Page utilisant P1066, Page utilisant P19, Page utilisant P20, Page utilisant P27, Page utilisant P569, Page utilisant P570, Page utilisant un modèle Bases inactif, Portail:Architecture et urbanisme/Articles liés, Portail:Arts/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Culture/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire de l'art/Articles liés, Portail:Italie/Articles liés, Portail:Patrimoine culturel immatériel/Articles liés, Portail:Protection du patrimoine/Articles liés, Restaurateur d'œuvres d'art, Universitaire italien, Wikipédia:Article biographique",Réduction de la longueur des phrases,3.2,2.8
18,Échelle révisée de Conners,"Divers problèmes peuvent être évalués à l'aide de cette échelle comme des problèmes cognitifs, d'opposition, d'hyperactivité, anxieux et sociaux présents chez les enfants ainsi que les adolescents.","Cette échelle peut évaluer divers problèmes chez les enfants et les adolescents, comme les problèmes cognitifs, d'opposition, d'hyperactivité, d'anxiété et sociaux.",fr.wikipedia.org/wiki/%C3%89chelle_r%C3%A9vis%C3%A9e_de_Conners,"Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Test psychologique pour enfant ou pour adolescent, Test psychopathologique, Wikipédia:ébauche psychologie",Transformation des propositions relatives,2.6,1.6
19,Macrocycle,"Ainsi, en chimie non macromoléculaire, un macrocycle est une molécule organique avec une grande structure cyclique, habituellement contenant au moins 15 atomes.","En chimie, un macrocycle est une molécule organique avec une grande structure cyclique contenant au moins 15 atomes.",fr.wikipedia.org/wiki/Macrocycle,"Article contenant un appel à traduction en anglais, Chimie supramoléculaire, Macrocycle, Polymère, Portail:Chimie/Articles liés, Portail:Sciences/Articles liés",Omission des mots redondants,2.8,1.4
20,La Galaxie Gutenberg,"Dans l'importante biographie que lui consacre Philip Marchand en 1989, Neil Postman rappelle toutefois le pouvoir heuristique des hypothèses de McLuhan.","Dans la biographie de Philip Marchand en 1989, Neil Postman rappelle le pouvoir heuristique des hypothèses de McLuhan.",fr.wikipedia.org/wiki/La_Galaxie_Gutenberg,"Essai canadien, Essai paru en 1962, Histoire de l'information, Portail:Années 1960/Articles liés, Portail:Histoire/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:XXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Théorie de l'information",Transformation des propositions relatives,3.6,3.0
21,OPTICS,C'est un diagramme en 2D dont l'axe x correspond à la position d'un point dans la liste ordonnée et  l'axe y la reachability-distance associée à ce point.,C'est un diagramme en 2D avec l'axe x pour la position d'un point dans la liste ordonnée et l'axe y pour la reachability-distance de ce point.,fr.wikipedia.org/wiki/OPTICS,"Algorithme de partitionnement de données, Exploration de données, Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche informatique",Transformation des propositions relatives,4.2,3.6
22,Comité des services informatiques de l'enseignement supérieur et de la recherche,"Le Conseil d'administration est composé de 9 à 15 personnes, en activité dans un établissement ayant vocation à adhérer, élues par l'assemblée générale.",Le Conseil d'administration est composé de 9 à 15 personnes en activité dans un établissement ayant vocation à adhérer. Elles sont élues par l'assemblée générale.,fr.wikipedia.org/wiki/Comit%C3%A9_des_services_informatiques_de_l%27enseignement_sup%C3%A9rieur_et_de_la_recherche,"Article de Wikipédia avec notice d'autorité, Article utilisant une Infobox, Association ou organisme lié à l'informatique, Portail:Associations/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Société/Articles liés, Portail:Technologies/Articles liés, Portail:Université/Articles liés, Portail:Universités françaises/Articles liés, Portail:Éducation/Articles liés, Wikipédia:ébauche informatique",Réduction de la longueur des phrases,4.0,2.25
23,Mazéage,"Le mot, d'origine obscure (Jean-Henri Hassenfratz l'associe au mot « macération ») groupe un grand nombre de procédés développés indépendamment.",Le mot est d'origine obscure. Jean-Henri Hassenfratz l'associe au mot « macération ». Il groupe un grand nombre de procédés développés indépendamment.,fr.wikipedia.org/wiki/Maz%C3%A9age,"Histoire de la métallurgie, Portail:Industrie/Articles liés, Portail:Métallurgie/Articles liés, Portail:Technologies/Articles liés, Portail:Économie/Articles liés",Réduction de la longueur des phrases,1.8,1.0
24,Association laitière européenne,L'EDA exprime les priorités de l'industrie de transformation du lait au niveau de l'UE et tente d'influencer les stratégies européennes par du lobbying.,L'EDA exprime les priorités de l'industrie laitière au niveau de l'UE et tente d'influencer les stratégies européennes.,fr.wikipedia.org/wiki/Association_laiti%C3%A8re_europ%C3%A9enne,"Article manquant de références/Liste complète, Article manquant de références depuis mars 2024, Association fondée en 1995, Association ou organisme lié à l'agriculture, Lobby auprès de l'Union européenne, Portail:Agriculture et agronomie/Articles liés, Portail:Associations/Articles liés, Portail:Biologie/Articles liés, Portail:Europe/Articles liés, Portail:Société/Articles liés, Portail:Union européenne/Articles liés, Projet:Biologie/Pages liées",Élimination des informations non essentielles,4.0,2.4
25,Abattement fiscal,Cette valeur locative est ensuite diminuée d’un abattement de 50 % pour la TFPB et de 20 % pour la TFNB de manière à obtenir le revenu cadastral servant à l’imposition.,Cette valeur locative est ensuite réduite de 50 % pour la TFPB et de 20 % pour la TFNB afin d'obtenir le revenu cadastral pour l’imposition.,fr.wikipedia.org/wiki/Abattement_fiscal,"Fiscalité, Portail:Société/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche économie",Substitution de mots complexes,3.4,2.4
26,Nicolas Eekman,"Ces deux hommes que la vision de l’art sépare, Mondrian promoteur de l’art abstrait et Eekman violemment contre, resteront liés par une amitié indéfectible tout au long de leur vie.","Ces deux hommes, Mondrian promoteur de l’art abstrait et Eekman violemment contre, resteront liés par une amitié indéfectible tout au long de leur vie.",fr.wikipedia.org/wiki/Nicolas_Eekman,"Aquarelliste néerlandais, Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte artiste, Article utilisant une Infobox, Article à illustrer Biographie, Artiste de l'art dégénéré, Dessinateur néerlandais, Décès dans le 14e arrondissement de Paris, Décès en novembre 1973, Décès à 84 ans, Graveur néerlandais du XXe siècle, Illustrateur néerlandais, Naissance en août 1889, Naissance à Bruxelles au XIXe siècle, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P106, Page utilisant P119, Page utilisant P135, Page utilisant P1367, Page utilisant P1711, Page utilisant P19, Page utilisant P1988, Page utilisant P2342, Page utilisant P245, Page utilisant P27, Page utilisant P2843, Page utilisant P40, Page utilisant P4687, Page utilisant P569, Page utilisant P570, Page utilisant P650, Page utilisant P651, Page utilisant P7902, Page utilisant P856, Peintre néerlandais du XXe siècle, Personnalité inhumée au cimetière parisien d'Ivry, Portail:Arts/Articles liés, Portail:Belgique/Articles liés, Portail:Biographie/Articles liés/Culture et arts, Portail:Biographie/Articles liés/Gravure, Portail:Biographie/Articles liés/Peinture, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Gravure/Articles liés, Portail:Pays-Bas/Articles liés, Portail:Peinture/Articles liés, Wikipédia:Article biographique",Transformation des propositions relatives,3.4,2.4
27,Médecin,"Issue de la haute société athénienne, elle se déguisa en homme pour suivre les cours de médecine du célèbre médecin Hérophile.",Elle était issue de la haute société athénienne. Elle se déguisa en homme pour suivre les cours de médecine d'Hérophile.,fr.wikipedia.org/wiki/M%C3%A9decin,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Métier, Article utilisant une Infobox, Article à référence insuffisante, Catégorie Commons avec lien local identique sur Wikidata, Médecin, Métier de la santé, Page pointant vers des bases externes, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1296, Page utilisant P1417, Page utilisant P486, Page utilisant P5082, Page utilisant P8313, Page utilisant P902, Page utilisant P952, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Portail:Société/Articles liés, Portail:Travail et métiers/Articles liés, Portail:Économie/Articles liés",Réduction de la longueur des phrases,2.2,1.2
28,Anuscopie,"L'anuscopie est un examen médical faisant partie de l'examen proctologique, qui comprend également le toucher rectal et la rectoscopie.","L'anuscopie est un examen médical du proctologique, incluant aussi le toucher rectal et la rectoscopie.",fr.wikipedia.org/wiki/Anuscopie,"Endoscopie de l'appareil digestif, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Proctologie, Wikipédia:ébauche médecine",Transformation des propositions relatives,2.8,2.8
29,Chevalerie d'arc,"Elle encourage ses membres, appelés Chevaliers, à œuvrer pour la défense de la Cité par la devise : Honneur et Courtoisie.","Elle encourage ses membres, appelés Chevaliers, à œuvrer pour la défense de la Cité. Sa devise est : Honneur et Courtoisie.",fr.wikipedia.org/wiki/Chevalerie_d%27arc,"Art martial, Portail:Sport/Articles liés, Portail:Tir à l'arc/Articles liés, Symbolique, Tir à l'arc",Réduction de la longueur des phrases,2.6,1.6
30,Liste des formes de vie,"En mai 2016, ce nombre a été porté à un billion (mille milliards) d'espèces estimées sur Terre avec seulement un millième de pour cent décrit.","En mai 2016, ce nombre a été porté à un billion d'espèces estimées sur Terre avec seulement un millième de pour cent décrit.",fr.wikipedia.org/wiki/Liste_des_formes_de_vie,"Liste en rapport avec la biologie, Portail:Biologie/Articles liés, Portail:Origine et évolution du vivant/Articles liés, Portail:Sciences/Articles liés, Projet:Biologie/Pages liées, Vivant",Éviter les parenthèses et les incises,2.8,2.0
